,id,comment,author,likecount,publishedAt
82,Ugxaz2DSXAEB7frPkRB4AaABAg,Думаю скоро будет конец света,Санан,1,2021-05-01T18:03:22Z
83,UgzlEiPZTeDgJuxrx8p4AaABAg,"Спасибо, спасибо, спасибо, спасибо, спасибо бл....",mika mika,2,2021-05-01T18:02:02Z
84,Ugx-75p9DKgTyTTqmb94AaABAg,"Ебать, ты жив",Markiz 31,0,2021-05-01T18:01:39Z
85,UgyWzLU1ZJCkPwtN2-J4AaABAg,Увидимся через 6 месяцев),Risus Urna,4,2021-05-01T17:59:14Z
86,UgzbWIH4bfC4Us39hl94AaABAg,Зомби!,Мини Хлеб,0,2021-05-01T17:58:39Z
87,Ugz-bF9-_gPOE7lrc1N4AaABAg,Ох вернулся,Витольд ыыыыы,1,2021-05-01T17:57:00Z
88,Ugyu0yrMpTnt8cWT8b54AaABAg,"Ура, ты живой! :""D",Lil Inky Sans,5,2021-05-01T17:56:13Z
89,Ugx3Uth-p0ZkKecAOoN4AaABAg,я думал ты умер.,aza909aza Тавокин,0,2021-05-01T17:55:35Z
90,Ugwlu0kEqp6-2DdTZRZ4AaABAg,Ну привет!,IgR'ok,0,2021-05-01T17:52:31Z
91,UgztGQcZ-GjgDNAhFA54AaABAg,Заходите в мои плей листы,Vaniha SB,2,2021-05-01T17:51:15Z
92,UgwrHUJp_awzKbC7BNB4AaABAg,о лайк за Eve,Kog,1,2021-05-01T17:51:12Z
93,UgxyYrANSXVc0OYpoYp4AaABAg,"Опа опа оппа оппа
А вот и новое пришествие нашего красавчик Бифо",Белый Змей,0,2021-05-01T17:50:13Z
94,UgySFsVfd7ymx23OEB94AaABAg,Отец в семью вернулся ура,Good Kevin,0,2021-05-01T17:48:59Z
95,UgzXbJY5bF2Y8S_nwTx4AaABAg,Наконец то годный контент,Gamelife,0,2021-05-01T17:48:45Z
96,Ugx7ldocjMU1qpbsIrB4AaABAg,ОНО ОЖИЛО !!!!,Дмитрий果実,0,2021-05-01T17:46:45Z
97,UgycImCvYRSahqw6eTJ4AaABAg,Он вернулся.,Devochka V Sinem,1,2021-05-01T17:46:33Z
98,Ugw6BMU6hFkCDaGvu294AaABAg,ОНО ЖИВО!!! ОНО ЕСТЬ!!!! ЭТО МАГИЯ ПАСХИ!!!! ВСЕМ ЖРАТЬ КУЛИЧИ !!!!,Kane Wolfgang,43,2021-05-01T17:45:45Z
99,Ugyg6NlY0oOVDN9f8Ed4AaABAg,Название многое обьясняет,Mahito,0,2021-05-01T17:45:18Z
100,UgyG__gWRvThB7_iV9V4AaABAg,Неужели ты все ещё жив 🗿,L k,0,2021-05-01T17:45:01Z
101,Ugy_1QJZh6zytO2WyKZ4AaABAg,"Ого, дед Максим то жив оказывается! С возвращением!",DamonaLikai ИриТ,2,2021-05-01T17:44:46Z
102,UgyNVTjrnYi48s0en794AaABAg,"Живой,да ладно",Alan360,0,2021-05-01T17:44:30Z
103,UgwfiKPs7G7arAjaE2J4AaABAg,Свершилось! Я уже спился и десять раз прошёл эту игрушку пока ждал.,Салаудин Конфор,1,2021-05-01T17:44:26Z
104,UgxlgzDw0j7DEAk0oTd4AaABAg,"Оно ЖИВОЕ , ЖИВОЕ!",TZ_,7,2021-05-01T17:44:17Z
105,Ugw3vlXxtj1LUo1ht0B4AaABAg,"Нухуа, оно живёт!",LeoFunn,1,2021-05-01T17:44:07Z
106,Ugz6267hpLsGnHhTU3V4AaABAg,Оно живое!!!,ani uch,0,2021-05-01T17:43:52Z
